age	sex	edu	s4	s5	c1	c2_1	c2_2	c3	c4	c5	c5_O_T_H	c6_1	c6_2	c6_3	c6_4	c6_5	c6_6	m1_1	m1_2	m1_3	m1_4	m1_5	m1_6	m1_7	m1_8	s6	agecat	educat
40	1	3	10	4	2	2	2	1	2	666	do mìsíce	1	1	1	1	1	1	10	10	9	10	6	7	6	6	666	2	3
26	2	3	1	6	1	3	3	1	1	666	Velmi dlouho jsem matka malého dítìte u ní je pravdìpodobné další otìhotnìní práci jsem po RD shánìla více ne rok a dostala místo jen díky protekci....	1	1	1	2	1	1	10	10	10	10	6	8	4	1	666	1	3
44	1	3	2	2	2	2	2	1	2	666	2 mìsíce	1	1	1	2	1	1	7	7	6	7	4	5	5	5	8	2	3
33	1	3	7	6	1	1	1	1	1	666	3 roky	1	1	1	1	1	1	4	4	4	5	10	10	10	10	8	2	3
37	2	3	1	6	2	1	2	2	1	2	sys_empty	1	1	1	2	1	1	10	9	8	9	5	7	3	2	666	2	3
20	1	1	12	4	1	1	1	1	1	666	To nevím, snail bych se co nejrychleji neco najít	1	1	1	1	1	1	7	3	7	5	10	8	8	10	1	1	1
42	1	3	11	2	1	2	2	1	2	666	6 mìsícù	1	1	1	2	2	1	8	8	10	10	4	8	1	1	666	2	3
35	2	3	10	5	1	1	1	1	1	666	hodnì dlouho vzhledem k tomu, e jsem matka od 3 dìtí :-(	1	1	1	2	1	2	8	8	8	8	5	10	5	5	5	2	3
30	2	3	10	1	1	3	2	1	2	666	záleí na monostech	1	1	1	1	1	1	10	10	10	10	10	10	10	10	5	2	3
26	2	1	14	5	2	3	3	1	1	666	nevím	1	1	1	2	1	1	10	10	10	8	5	8	6	9	5	1	1
18	1	3	8	1	1	3	3	1	2	2	sys_empty	1	2	1	1	2	1	8	8	3	8	5	7	4	8	1	1	3
19	2	3	10	5	1	1	1	2	1	2	sys_empty	1	1	1	1	2	2	7	6	5	6	7	8	4	4	1	1	3
36	1	2	14	5	1	1	1	1	1	666	pùl roku	1	1	1	2	2	1	8	8	8	10	3	10	8	6	666	2	1
48	1	3	11	2	1	1	1	2	1	666	3-6 mìsícù	1	1	1	2	2	2	5	5	5	5	5	5	5	10	666	3	3
42	1	2	14	1	1	3	3	1	1	666	nevím	1	1	1	2	1	1	7	5	4	5	6	9	9	10	4	2	1
28	2	3	14	5	1	2	1	1	1	666	asi pùl roku	1	1	1	2	1	2	10	9	8	10	5	8	5	5	666	1	3
41	1	3	8	5	2	1	1	1	1	666	jsem OSVÈ asi 2 mìsíce	1	1	1	1	1	2	10	9	9	9	6	6	6	6	8	2	3
59	2	2	10	4	1	1	1	1	2	2	sys_empty	1	1	1	1	1	1	5	5	5	6	3	5	5	8	8	3	1
29	2	4	14	6	1	2	1	1	1	666	4 mìsíce	1	1	1	2	1	1	9	9	8	10	5	6	3	3	5	1	4
59	2	3	2	3	1	3	3	1	1	666	Já myslím,e lidé pøed dùchodem mají velké problémy najít práci.Trvalo by to déle protoe i mladí lidé dlouho hledají zamìstnání.	1	1	1	2	1	1	6	6	9	8	10	2	1	3	4	3	3
22	1	2	11	4	2	1	1	1	1	666	déle ne rok	1	1	1	1	2	1	5	4	3	5	6	3	7	8	666	1	1
28	2	4	1	6	2	2	2	1	2	666	2-3 mìsíce	1	1	1	1	1	1	10	9	7	10	8	8	4	5	666	1	4
34	2	4	1	6	2	3	3	1	2	666	Pùl roku a rok	1	1	1	1	1	1	8	8	8	9	5	10	9	9	5	2	4
24	1	2	14	2	1	3	3	1	1	666	roky	1	1	1	2	2	1	5	5	3	1	1	8	5	8	4	1	1
22	2	4	8	1	1	1	1	1	1	666	Do ètvrt roku.	1	1	1	2	1	1	5	4	4	4	5	5	5	5	1	1	4
56	2	3	8	5	2	1	1	1	1	666	cca pùl roku	1	1	1	2	2	2	6	3	7	7	3	9	2	5	8	3	3
25	1	3	14	4	1	2	2	1	2	666	1 mìsíc	1	1	1	2	1	1	10	10	10	10	1	10	4	6	666	1	3
27	1	2	14	5	1	1	2	1	1	666	1 rok	1	1	1	1	2	1	2	2	1	1	10	1	10	10	666	1	1
40	2	4	6	4	2	2	2	2	2	666	myslím si, e bych našla zamìstnání v co nejkratší dobì.	1	1	1	2	2	1	10	10	10	10	5	7	2	4	666	2	4
47	1	2	9	1	1	1	1	1	1	666	2-5 mìsícù	1	1	1	2	2	1	3	3	3	9	9	9	10	10	666	3	1
53	2	3	14	5	1	3	3	1	1	666	hodnì dlouho	2	1	1	2	1	1	5	5	5	10	3	5	8	8	4	3	3
