age	sex	edu	s4	s5	c1	c2_1	c2_2	c3	c4	c5	c5_O_T_H	c6_1	c6_2	c6_3	c6_4	c6_5	c6_6	m1_1	m1_2	m1_3	m1_4	m1_5	m1_6	m1_7	m1_8	s6	agecat	educat
39	2	2	6	4	1	1	1	1	1	666	Netuším,mám zdravotní problémy	1	1	1	2	1	1	3	3	2	2	4	10	4	10	666	2	1
59	1	2	4	3	1	2	2	1	2	666	rok	2	1	2	2	2	1	3	3	3	3	7	10	7	10	666	3	1
18	1	1	8	5	1	1	1	1	1	2	sys_empty	1	1	1	1	1	1	10	10	10	10	1	1	1	1	1	1	1
25	2	3	1	6	2	1	1	2	1	666	Dlouho...rok a více	1	1	1	2	2	1	7	6	7	7	5	8	3	8	666	1	3
32	2	3	7	6	1	2	1	2	1	2	sys_empty	1	1	1	2	1	1	6	6	5	6	4	7	6	8	666	2	3
28	1	4	2	1	2	2	2	1	1	666	3 mìsíce	1	1	1	2	1	1	10	10	10	10	2	7	2	2	666	1	4
36	2	2	4	4	1	1	1	1	1	666	Hodnì dlouho	1	1	1	2	2	1	2	2	1	2	9	9	9	9	666	2	1
48	2	3	3	5	1	1	1	2	1	666	do smrti	1	1	1	2	2	2	4	4	3	3	2	9	5	6	666	3	3
43	1	3	8	5	1	2	2	1	2	666	2-3 mìsíce	1	1	1	2	2	1	8	8	8	8	3	5	4	4	666	2	3
28	2	4	3	5	1	2	2	1	2	2	sys_empty	1	1	1	1	1	1	10	10	8	10	4	5	5	2	7	1	4
54	1	3	2	4	1	2	1	2	2	666	ihned	2	2	1	2	1	2	10	10	10	10	6	8	2	2	666	3	3
44	1	3	1	6	2	2	2	2	2	2	sys_empty	1	1	1	1	2	2	5	6	5	7	4	5	5	5	666	2	3
48	2	2	13	1	2	3	3	2	2	666	nemám tušení	1	1	1	2	2	1	8	8	7	7	8	9	8	8	3	3	1
24	2	3	3	5	2	1	2	1	2	666	6 mesicu	1	1	1	2	2	1	5	5	6	5	4	9	9	8	666	1	3
19	2	3	13	5	1	3	3	2	1	2	sys_empty	1	1	1	2	1	1	9	8	8	10	5	5	5	6	1	1	3
40	1	2	11	1	2	1	2	1	2	666	tyden	1	1	1	2	1	1	5	5	4	6	7	7	3	3	7	2	1
56	2	3	13	1	2	1	1	1	1	666	do pùl roku	1	1	1	2	1	1	7	7	6	7	8	9	8	9	666	3	3
18	1	1	6	5	1	3	3	1	1	2	sys_empty	1	1	1	1	2	1	8	8	10	10	3	9	10	2	1	1	1
31	2	4	12	6	2	3	3	2	1	666	Doufám, e max 3 mìsíce	1	1	1	2	1	1	10	10	10	10	2	6	3	2	5	2	4
59	2	2	6	5	1	3	3	2	2	2	sys_empty	1	1	1	2	2	1	9	9	8	9	2	2	4	2	3	3	1
16	1	1	11	2	1	2	2	1	1	2	sys_empty	1	1	1	1	1	1	5	5	5	5	5	5	5	5	1	1	1
23	2	4	2	4	1	2	2	2	2	666	1-3 mìsíce	1	1	1	2	2	2	10	10	7	7	3	4	3	4	7	1	4
39	2	3	6	4	2	2	2	1	1	666	rok	1	1	1	2	1	2	8	9	8	8	3	5	1	2	8	2	3
25	1	4	7	6	1	2	2	2	2	666	1 mìsíc	1	2	1	1	2	1	5	6	4	5	3	6	3	4	666	1	4
29	2	3	7	5	1	2	2	2	1	666	6mìsícù	1	1	1	1	1	1	7	8	7	9	6	6	3	5	666	1	3
53	2	3	10	1	1	3	3	1	2	2	sys_empty	1	1	1	2	1	1	6	6	3	6	8	9	6	7	3	3	3
18	2	1	14	4	2	3	3	1	1	2	sys_empty	1	1	1	2	2	2	7	7	4	4	5	7	6	10	1	1	1
39	2	3	6	4	1	3	3	2	1	666	do 1/4 roku	1	1	1	2	1	1	8	8	6	7	6	6	6	6	5	2	3
33	2	4	1	6	1	3	1	1	1	666	minimalne nekolik mesicu	1	2	1	2	1	2	10	10	9	10	5	9	7	7	5	2	4
20	2	3	1	6	1	3	3	2	1	2	sys_empty	1	1	1	2	1	1	10	9	10	10	3	8	4	4	1	1	3
19	1	3	11	3	1	3	1	2	1	666	zhruba 1-3 mìsíce	1	2	1	2	1	1	10	8	7	10	6	7	4	5	1	1	3
34	2	3	12	4	2	2	2	1	1	666	pùl roku	1	1	1	2	2	2	4	3	5	7	5	5	4	7	666	2	3
58	2	2	14	1	1	3	3	1	2	2	sys_empty	1	2	2	2	2	2	4	2	6	8	2	2	3	8	3	3	1
26	1	4	11	3	1	1	1	2	2	666	6 mìsícù	1	1	1	2	1	1	10	10	10	10	1	2	1	3	666	1	4
29	2	3	2	2	2	3	3	1	1	666	2-3 mìsíce	1	1	1	2	1	1	6	6	4	6	6	5	5	4	5	1	3
36	1	2	14	5	1	1	1	1	1	666	nevím	1	1	1	2	1	1	8	8	7	8	5	5	6	4	666	2	1
53	1	2	14	1	1	1	1	1	1	666	Asi mìsíc	1	1	1	2	2	1	8	8	9	10	6	7	5	4	666	3	1
44	1	4	12	1	1	1	2	1	1	666	3-6 mesicu	1	1	1	2	1	1	9	9	9	9	2	4	4	4	666	2	4
34	1	3	7	3	2	1	3	1	2	2	sys_empty	1	1	1	1	1	1	8	8	4	5	3	10	4	4	8	2	3
36	1	3	3	3	2	1	2	1	1	666	3 mìsíce	1	1	1	2	1	1	9	9	9	9	4	9	7	4	666	2	3
17	2	1	4	4	2	3	3	2	2	2	sys_empty	1	1	1	1	2	2	8	6	7	4	5	10	9	8	1	1	1
48	1	3	1	6	2	2	2	1	2	2	sys_empty	1	1	1	2	1	1	10	10	7	9	2	3	5	4	666	3	3
46	2	3	14	5	1	2	2	1	1	666	1 rok	1	1	1	2	1	1	9	8	7	8	6	8	3	6	666	3	3
45	1	2	13	5	2	1	2	2	1	666	pùl roku	1	1	1	2	1	1	9	9	5	7	8	7	5	5	666	3	1
38	2	3	11	2	1	3	3	1	2	666	pùl roku a 3/4 roku .. snad :-)	1	1	1	2	1	2	10	10	10	10	3	3	3	3	5	2	3
51	1	3	2	1	1	2	2	2	2	666	pùl roku	1	1	1	2	2	1	8	8	8	9	3	6	5	2	666	3	3
51	2	2	13	4	1	1	1	1	1	666	1-2 roky	1	1	1	2	2	1	4	4	3	5	8	10	10	10	666	3	1
38	1	2	7	4	1	2	2	1	2	666	2 MÌSÍCE	2	1	1	2	1	1	10	9	8	10	5	9	10	10	666	2	1
40	1	3	8	3	1	2	2	1	1	2	sys_empty	1	1	1	2	1	2	8	8	8	8	5	9	6	7	8	2	3
45	1	2	3	3	2	1	1	1	1	666	2-4 tıdny	1	1	1	2	2	1	5	4	6	5	5	7	6	7	666	3	1
31	2	2	12	2	1	3	3	1	1	666	Momentálnì jsem na MD,ale pøed tím jsem o práci pøišla ,protoe podnik zkrachoval a s prací je to velmi špatné	1	1	1	2	1	1	5	5	1	3	8	8	9	9	5	2	1
42	2	2	4	1	2	3	3	1	1	666	dost dlouho jsem èid a mám problém najít práci	1	1	1	2	2	1	10	10	9	6	9	9	6	10	3	2	1
50	2	2	9	1	2	3	3	2	2	2	sys_empty	1	1	1	2	2	1	8	8	6	10	3	3	7	4	666	3	1
54	1	3	11	2	1	2	2	1	2	666	Nìkolik dní	1	1	1	1	1	2	10	7	10	9	3	9	6	9	666	3	3
23	1	2	10	4	2	2	2	1	1	666	cca. 1 mesic	1	1	1	2	2	1	8	6	5	9	5	8	3	5	666	1	1
58	2	3	14	4	1	3	3	1	1	2	sys_empty	1	1	1	2	1	1	7	5	3	3	5	8	5	8	3	3	3
36	1	3	6	5	2	2	1	1	1	2	sys_empty	1	1	1	1	2	2	9	9	8	7	4	6	3	6	7	2	3
27	1	2	2	4	1	1	1	1	1	2	sys_empty	1	2	1	2	1	1	1	1	1	5	1	10	5	7	666	1	1
56	1	2	10	4	2	3	3	1	2	2	sys_empty	1	1	1	2	2	2	9	8	8	7	4	10	4	2	666	3	1
28	2	3	1	3	1	3	1	1	1	666	nevím	1	1	1	2	1	1	10	9	8	8	5	5	3	4	5	1	3
51	1	2	8	2	1	3	3	1	1	666	Nevím zdali bych ještì nìjaké místo našel.	1	1	1	2	2	1	3	3	3	5	3	9	7	8	7	3	1
45	1	2	2	1	1	1	1	1	1	666	2-3 mìsíce	1	1	1	2	2	1	7	8	4	9	5	6	7	10	666	3	1
28	1	2	1	6	1	3	3	1	1	666	mìsíce, moná i roky pokud by nebyl nikdo kdo mne do nìjakého zamìstnání pomùe	2	1	2	2	1	1	5	5	7	3	4	3	5	2	4	1	1
34	1	3	2	1	2	2	2	1	1	666	kdo chce dìlat práci si najde	1	1	1	2	1	1	10	10	9	10	7	8	7	6	666	2	3
51	1	3	3	5	1	1	2	2	1	2	sys_empty	1	1	1	1	1	1	10	5	5	6	4	8	1	6	666	3	3
27	2	2	4	4	1	1	1	1	1	2	sys_empty	1	2	1	2	2	1	8	8	8	5	3	5	6	6	666	1	1
34	1	3	4	2	2	1	2	1	2	666	vzhledem k pùlroèní vıpovìdní lhùtì bych snad nastoupil do nové práce hned	1	1	1	2	2	1	9	9	7	7	5	8	6	5	666	2	3
54	2	1	14	5	1	1	1	1	1	666	èím nejrychleji	2	1	1	2	2	1	10	7	7	7	6	10	8	9	666	3	1
54	2	3	2	3	1	3	3	1	1	666	Jsem nezamìstnaná ji 20 mìsícù, tudí bez podpory èi jinıch dávek. Je mi 54 rokù a i pøes velice intenzivní hledání práce se mi stále nedaøí zaøadit se do stavu pracujících, nebo je vdy upøednostnìna mladší uchazeè/ka. Rekvalifikace mi úøad práce zamít	1	1	1	2	1	1	3	3	3	3	5	10	2	10	4	3	3
53	2	3	11	1	1	1	1	1	1	666	ROK	1	1	1	2	2	2	3	1	1	2	10	10	8	10	4	3	3
39	1	4	14	5	2	3	3	2	1	666	1 mìsíc	1	1	1	2	2	1	8	8	5	5	3	8	4	4	666	2	4
58	1	3	12	4	1	2	1	2	2	666	5	1	1	1	2	1	1	5	5	3	6	5	6	7	7	666	3	3
37	1	3	8	4	2	2	2	1	1	666	do pùl roku	1	1	1	2	1	2	7	7	7	5	3	7	8	3	666	2	3
49	1	3	11	4	1	2	2	2	2	2	sys_empty	2	1	1	2	2	1	9	7	8	8	5	3	9	7	666	3	3
19	1	3	14	4	1	1	1	2	1	666	Snad do mìsíce	1	1	1	1	2	2	10	10	10	4	4	7	4	4	1	1	3
36	2	4	1	6	1	2	2	1	2	666	PÙL ROKU	1	1	1	1	1	1	7	7	7	7	7	7	6	6	666	2	4
20	2	3	13	1	2	3	3	1	2	2	sys_empty	1	1	1	2	2	2	6	6	3	5	4	9	8	10	666	1	3
47	2	3	6	4	2	1	1	1	1	666	6 mìsícù	1	1	1	2	2	2	2	1	1	2	10	8	7	10	666	3	3
59	1	2	3	5	1	2	2	2	2	2	sys_empty	1	1	1	2	2	1	7	7	5	7	7	8	8	8	666	3	1
32	1	3	8	3	1	1	1	2	1	666	6 mesicu	1	1	1	1	1	1	5	5	4	5	3	4	5	4	666	2	3
39	1	2	11	2	1	1	2	2	1	666	chvíli	2	1	2	2	2	2	8	7	7	6	6	8	6	5	666	2	1
29	1	3	13	4	1	2	2	1	1	666	MÌSÍC	2	1	2	2	2	2	7	7	4	10	3	8	8	8	666	1	3
46	1	2	9	4	1	2	1	1	1	666	3mìsíce	2	1	1	2	2	2	9	9	8	8	9	9	3	4	666	3	1
30	2	4	1	6	1	3	1	2	1	666	nemam prilis specifickou profesi,proto si myslim,ze bych praci nasla v radu dvou az tri mesicu.	1	2	1	1	1	2	8	8	5	5	2	2	1	1	5	2	4
32	1	3	2	2	2	2	2	2	1	666	1-2 mesice	1	1	1	2	1	1	7	7	6	6	8	9	7	7	666	2	3
44	1	2	6	2	2	1	2	1	1	666	rok	1	1	1	1	2	2	10	10	10	10	3	5	5	5	666	2	1
28	2	3	1	6	2	2	3	2	2	666	mesic	1	1	1	1	2	2	9	9	6	10	4	7	2	8	666	1	3
25	2	3	4	4	2	2	2	1	1	666	myslím tak do pùl roku	1	1	1	2	2	1	7	8	5	7	8	5	7	7	666	1	3
26	2	3	2	1	2	1	3	2	1	666	snaila bych se co nejdøíve, nedá se urèit jak dlouho	1	1	1	2	1	1	10	10	6	7	4	9	5	6	5	1	3
52	1	3	11	6	1	1	1	2	1	666	rok	1	1	1	2	1	2	10	10	10	10	1	5	2	2	666	3	3
32	2	4	1	6	1	1	2	2	1	2	sys_empty	1	1	1	2	2	1	8	7	7	8	7	8	8	7	666	2	4
44	1	3	14	4	1	2	2	2	2	666	asi mìsíc ?	1	1	1	2	1	1	9	10	8	10	5	6	7	8	666	2	3
35	2	4	1	6	1	3	3	2	2	2	sys_empty	1	2	1	2	1	2	10	10	10	10	2	5	1	1	5	2	4
31	1	4	12	1	1	1	2	2	1	666	3 mìsíce	1	1	1	2	1	1	6	5	2	7	7	9	6	9	666	2	4
28	2	3	9	4	1	1	3	1	1	2	sys_empty	1	1	1	2	1	1	9	9	8	9	6	8	7	7	5	1	3
35	1	3	13	3	1	2	2	1	2	2	sys_empty	1	1	1	2	2	2	10	10	10	10	10	8	9	10	7	2	3
38	1	3	10	1	1	2	2	2	1	666	pùl roku	1	1	1	2	1	2	8	8	8	7	3	5	3	6	666	2	3
57	1	2	2	5	1	1	2	2	1	666	2 mìsíce	1	1	1	2	1	1	6	4	4	9	4	5	5	4	666	3	1
26	1	3	4	6	1	3	3	1	2	666	2 mìsíce	1	2	1	1	2	1	6	4	5	7	6	3	7	6	8	1	3
33	2	4	1	6	2	2	2	2	2	666	3 mìsíce	1	1	1	2	1	1	9	9	8	10	4	8	4	9	8	2	4
46	1	3	14	6	2	1	2	1	1	666	nevím	1	1	1	1	1	1	10	10	10	10	3	4	2	1	666	3	3
41	2	4	12	6	2	1	1	2	2	666	Doufám, e velmi krátkou dobu. Vzala bych cokoliv radìji ne zùstat doma	1	1	1	2	1	1	8	8	8	9	4	7	4	6	666	2	4
53	1	2	2	5	1	2	1	1	1	666	dlouho	1	1	1	2	1	1	4	3	3	2	6	8	10	10	666	3	1
46	1	3	14	4	2	2	2	1	2	666	1 - 2 mìsíce	1	1	1	1	1	2	9	8	9	9	2	4	5	6	666	3	3
30	1	2	9	5	1	2	2	1	2	666	Max. mìsíc	1	1	1	2	2	1	9	10	8	10	2	6	2	5	666	2	1
30	1	3	3	2	1	1	1	2	2	666	3-12 mìsícù	1	1	1	2	2	1	10	10	8	9	5	7	8	2	666	2	3
33	1	3	2	4	1	2	2	1	2	666	max. pùl roku	1	1	1	2	1	1	8	8	4	9	7	5	6	5	666	2	3
39	2	4	3	5	1	1	2	1	1	666	Nìkolik Mìsícù	1	1	1	2	1	1	4	3	1	2	6	10	7	4	666	2	4
66	1	2	6	5	1	3	3	2	2	666	Jsem v dùchodu	1	1	1	2	2	1	8	8	9	10	2	5	1	1	3	 	1
51	1	4	1	6	1	2	2	1	1	666	3 mìsíce	1	1	1	2	1	1	9	9	9	9	3	4	4	3	666	3	4
34	2	3	14	2	1	1	1	1	1	666	Mìsíc	1	1	1	2	1	2	6	6	5	7	5	7	7	8	666	2	3
67	1	4	10	5	2	3	3	1	2	2	sys_empty	1	1	1	2	1	1	6	5	6	10	5	1	6	1	3	 	4
44	2	3	14	5	2	1	3	2	1	666	0,5 roku	1	1	1	2	1	1	7	7	7	7	7	9	5	7	666	2	3
47	2	3	1	6	1	1	1	1	1	666	v mém vìku u asi dost dlouho	1	1	1	2	1	1	7	7	7	7	7	7	7	7	666	3	3
54	1	3	1	6	1	1	2	1	1	666	vzhledem k vìku nejménì 1 rok	2	1	1	2	1	1	9	9	8	9	5	7	3	4	666	3	3
38	2	3	4	6	1	3	3	1	1	2	sys_empty	1	1	1	2	1	1	8	8	8	8	5	6	5	5	5	2	3
25	2	3	6	5	1	1	1	1	1	666	Jako matce samoivitelce hodnì dlouho	1	1	1	2	1	1	8	8	3	7	10	8	4	10	5	1	3
33	1	2	4	2	1	1	2	1	1	666	dlouho	1	1	1	2	2	1	6	5	4	7	4	7	9	8	666	2	1
32	1	4	1	6	1	1	3	2	1	666	6 mìsícù	1	1	1	2	1	1	6	6	5	7	6	8	8	8	666	2	4
60	2	4	1	6	1	3	3	2	2	2	sys_empty	1	1	1	2	1	1	10	10	10	2	1	3	1	1	8	 	4
27	1	2	13	4	1	3	2	2	2	2	sys_empty	1	2	1	1	2	2	10	10	9	10	4	6	3	5	666	1	1
21	2	3	1	6	1	2	1	2	1	2	sys_empty	1	1	1	2	1	1	8	6	6	8	7	8	7	7	1	1	3
55	1	2	2	2	1	1	1	2	1	666	nevím	2	2	1	2	1	1	7	7	7	7	2	4	5	4	666	3	1
55	2	3	2	1	1	1	2	2	2	666	vzhledem k vìku a ètvrt roku	1	1	1	2	2	1	8	8	7	8	6	8	3	7	666	3	3
55	2	3	10	3	1	2	2	2	2	666	nevím	1	1	1	2	2	2	7	7	7	8	7	7	5	5	666	3	3
57	2	2	13	1	1	3	3	1	1	666	V pøeddùchodovém vìku u není šance sehnat zamìstnání.	1	1	1	2	1	1	10	10	5	8	5	10	7	5	3	3	1
51	1	2	14	3	1	3	3	1	2	2	sys_empty	2	1	2	2	1	1	5	4	6	7	7	10	3	6	3	3	1
21	2	1	5	5	2	3	3	1	2	2	sys_empty	1	1	1	2	2	1	8	6	1	7	1	5	8	5	1	1	1
27	2	3	2	3	1	2	1	2	1	666	pùl roku	1	2	1	2	1	1	9	9	5	10	2	7	5	5	5	1	3
29	2	2	10	5	2	3	3	2	2	2	sys_empty	1	1	1	1	1	1	7	3	4	8	7	9	2	6	5	1	1
18	1	1	4	1	1	3	3	1	2	2	sys_empty	1	2	1	2	2	1	10	10	10	10	3	5	6	1	1	1	1
40	1	3	14	4	1	1	2	1	1	666	mìsíc	1	1	1	1	1	1	10	10	10	10	3	3	2	3	666	2	3
34	1	4	1	6	1	2	2	2	2	666	do 3 mìsícù	1	1	1	1	1	1	8	8	9	8	2	3	2	4	666	2	4
38	2	3	2	1	1	1	2	1	1	666	vdy se mi povedlo zamìstnání najít do pár mìsícù,v pøeddùchodovém vìku nevím,záleí na zdravotním stavu a dalších okolnostech	1	1	1	2	1	1	9	9	10	9	5	7	2	6	666	2	3
42	2	4	1	6	1	1	1	2	1	666	rok	1	1	1	2	2	1	5	5	4	4	8	8	7	8	666	2	4
19	2	3	14	2	1	3	3	2	1	2	sys_empty	1	2	1	1	2	1	9	9	9	9	6	8	7	8	1	1	3
23	2	4	5	2	2	3	3	2	1	666	nìkolik tıdnù	1	1	1	2	1	1	9	8	8	9	4	6	3	6	1	1	4
34	2	4	1	6	1	1	2	2	1	666	tìko øíct, ale doufám, e do pùl roka	1	1	1	2	1	1	8	8	8	10	7	7	2	5	666	2	4
29	2	4	8	4	1	3	2	2	2	2	sys_empty	1	1	1	2	1	2	9	9	9	6	2	3	2	3	7	1	4
27	2	3	10	3	1	2	2	1	2	2	sys_empty	1	1	1	2	1	1	10	10	9	10	7	8	7	6	9	1	3
46	2	3	1	6	2	3	3	1	1	666	2 mìsíce	1	1	1	2	1	1	5	5	5	5	3	7	2	3	666	3	3
38	2	4	12	6	1	1	1	2	2	666	doufám, e do pùl roku	1	1	1	2	2	1	2	2	2	1	3	7	5	7	666	2	4
24	1	3	1	6	2	2	2	1	2	666	pár mìsícù	1	1	1	2	2	1	6	6	8	7	4	5	3	2	8	1	3
26	2	3	2	1	2	1	1	1	1	666	Nikdy jsem nemìla problém si najít práci, ale naposledy jsem hledala práci ještì pøed krizí, take si netroufám øíct, jak rychle bych si práci našla.	1	1	1	2	1	1	10	10	9	9	3	4	4	3	5	1	3
33	1	3	6	5	1	2	2	2	1	666	1-2 mìsíce	1	1	1	1	1	1	9	10	9	8	6	6	5	7	666	2	3
19	2	2	4	4	1	2	3	1	2	2	sys_empty	1	1	1	2	2	1	10	9	9	10	5	10	5	10	666	1	1
30	2	4	9	3	1	2	2	2	2	2	sys_empty	1	2	1	2	1	2	3	3	3	2	7	7	7	7	5	2	4
34	2	3	1	6	1	1	1	2	1	666	hned	1	2	1	2	1	1	9	6	6	9	5	6	2	4	666	2	3
42	1	3	4	3	1	1	2	1	1	666	2 mìsíce	1	1	1	2	1	1	8	8	6	7	3	6	7	5	666	2	3
27	2	4	4	3	1	1	1	1	1	666	více ne rok	1	1	1	2	1	1	3	3	3	5	10	9	5	10	2	1	4
26	2	3	13	5	1	3	3	1	1	2	sys_empty	1	1	1	2	1	1	10	10	8	10	2	5	2	5	4	1	3
37	2	3	9	4	1	1	1	1	1	666	6 mìsícù	1	1	1	2	1	1	5	4	3	6	8	8	8	8	5	2	3
48	1	3	2	3	1	3	3	1	1	2	sys_empty	1	2	1	2	1	2	5	5	3	3	8	10	8	8	7	3	3
29	1	3	11	4	1	1	1	2	1	666	2 mìsíce	1	1	1	2	2	2	10	10	4	10	6	8	5	8	666	1	3
38	2	4	13	5	1	1	2	2	2	666	2 mìsíce	1	1	1	2	1	1	6	5	5	7	5	8	8	7	5	2	4
54	2	2	2	1	1	1	2	1	1	666	dost dlouho vzhledem k vìku	1	1	1	2	2	1	10	10	10	10	3	9	3	3	666	3	1
53	2	3	4	4	1	1	1	1	1	666	je to podle štìstí - mìsíce a doba jednoho roku	1	1	1	2	2	1	5	5	5	9	9	9	2	9	5	3	3
28	2	4	4	6	2	1	2	1	1	666	2-3 mìsíce	1	1	1	2	1	1	8	7	2	8	3	7	4	7	666	1	4
40	1	2	6	2	1	1	1	1	1	666	3 roky	1	1	1	2	1	1	5	5	1	5	3	3	3	6	4	2	1
24	2	3	1	6	2	2	2	2	2	2	sys_empty	1	2	1	1	1	2	10	10	9	10	4	8	4	7	1	1	3
28	2	2	6	4	1	1	2	1	1	666	3-6 mìsícù	2	2	2	1	1	1	9	8	8	10	5	6	4	5	666	1	1
60	1	3	1	6	1	3	3	2	1	666	nevím, asi dlouho	2	1	1	2	1	1	7	7	2	10	5	8	5	10	9	 	3
34	2	2	13	5	2	3	3	1	1	2	sys_empty	1	1	1	2	1	1	10	7	1	4	5	10	5	5	666	2	1
47	2	3	5	5	2	1	2	2	1	666	nevím	1	1	1	2	1	1	7	5	5	5	5	8	6	9	666	3	3
40	2	4	8	5	2	2	2	2	2	666	hned	1	1	1	2	2	2	10	7	7	7	4	5	5	6	666	2	4
59	1	2	11	6	1	1	2	1	1	666	myslím si, e bych ve svém oboru ji práci nenašel	1	1	1	2	1	2	3	3	5	7	4	7	7	2	7	3	1
69	1	3	2	1	1	3	3	1	2	2	sys_empty	2	2	1	2	2	2	8	8	9	9	3	6	3	2	3	 	3
27	2	3	1	6	1	2	2	1	1	666	5mesicu	1	1	1	2	1	1	10	10	9	10	5	5	1	2	666	1	3
52	2	4	11	6	1	3	3	1	2	2	sys_empty	1	1	1	1	1	1	7	7	5	7	5	4	2	7	8	3	4
46	1	1	13	3	2	2	1	2	1	666	nevím	1	1	1	1	1	1	7	7	7	7	5	8	5	5	666	3	1
35	1	3	1	6	1	1	1	2	1	666	Snad ne více ne 3-4 mìsíce	1	1	1	2	1	1	7	7	4	5	5	8	8	8	666	2	3
25	1	4	10	3	1	3	3	1	2	2	sys_empty	1	1	1	2	1	2	10	10	10	10	5	10	10	10	4	1	4
33	1	2	10	5	1	2	2	1	1	666	dva a tøi mìsíce	2	2	1	2	2	1	5	6	7	8	10	6	6	9	666	2	1
25	2	4	12	1	1	3	3	2	1	666	6 mìsícù	1	1	1	1	1	1	5	5	5	5	5	5	5	5	1	1	4
53	1	2	2	1	1	2	2	2	2	666	nevím ,nepøemıšlím o tom	2	2	1	2	1	1	6	6	6	6	6	6	5	6	666	3	1
62	1	2	5	5	1	2	2	2	2	2	sys_empty	2	1	1	1	2	2	10	7	9	10	1	4	3	1	666	 	1
19	1	2	11	5	2	1	1	1	1	666	dlouho hodnì dlouho	1	1	1	1	1	1	7	7	5	9	9	9	9	8	4	1	1
36	2	2	2	5	1	3	3	1	1	666	neodhaduji	1	1	1	2	1	2	5	5	5	7	5	8	3	8	4	2	1
24	2	2	2	1	2	2	1	2	2	666	mìsíc	1	1	1	1	2	1	4	4	2	6	9	10	10	10	666	1	1
31	2	3	11	2	1	1	1	1	1	666	Vìøím, e práci najdu co nejdøív, ale obávám se, e tak pùl roku	1	1	1	2	1	1	10	10	7	7	6	7	6	6	5	2	3
18	1	1	7	5	1	3	3	1	1	666	3 mìsíce	1	1	1	1	1	1	1	1	4	3	8	8	8	8	4	1	1
17	2	1	7	5	1	3	3	1	1	2	sys_empty	1	2	1	2	1	2	7	7	6	7	7	7	6	5	1	1	1
33	2	4	1	6	1	1	1	2	1	666	tak do 3 mìsícù	1	1	1	1	1	1	8	8	8	9	7	7	6	8	666	2	4
50	2	4	11	3	1	2	2	1	2	666	pùl roku	1	1	1	2	1	1	6	4	6	6	7	6	7	6	666	3	4
51	1	2	6	5	1	3	3	1	1	666	6 mìsícù...	1	1	1	2	1	1	5	5	5	5	5	7	4	5	8	3	1
18	1	1	2	5	1	3	3	2	1	2	sys_empty	1	1	1	2	1	1	10	10	6	10	4	8	6	3	1	1	1
25	2	4	7	4	1	1	1	1	1	666	tøi mìsíce	1	1	1	2	1	1	8	9	8	9	5	6	5	6	1	1	4
33	1	3	10	5	2	1	2	1	1	666	1 mìsíc	1	1	1	2	2	1	7	5	4	6	4	9	6	2	666	2	3
31	2	4	9	5	2	1	3	2	1	666	pul roku	1	1	1	1	1	1	8	8	8	8	3	4	3	3	5	2	4
27	2	3	2	5	2	3	1	1	1	666	tıden	1	1	1	1	1	1	8	7	6	7	9	10	7	10	666	1	3
20	2	3	6	5	2	1	1	2	1	2	sys_empty	1	1	1	1	1	2	7	7	7	9	4	5	5	5	1	1	3
33	1	2	2	3	1	2	2	2	2	666	dva tıdny	1	1	1	2	1	1	7	6	5	8	4	9	4	10	666	2	1
50	1	2	6	2	1	1	1	1	1	666	1 rok	1	1	1	2	2	1	5	4	4	4	8	9	9	10	4	3	1
26	2	3	11	1	2	3	3	1	1	666	nevím	1	1	1	2	1	1	5	5	4	4	7	9	6	8	5	1	3
19	2	3	14	3	2	3	3	2	1	2	sys_empty	1	2	1	1	1	2	10	8	6	6	5	7	7	4	1	1	3
27	2	3	8	1	1	3	3	1	1	666	moc dlouho ne vzala bych vše co by jen trochu šlo	1	1	1	2	2	1	10	10	5	7	5	9	7	8	5	1	3
52	2	4	12	4	1	1	1	1	1	666	to se nadá odhadnout	1	1	1	2	1	1	3	3	4	4	8	10	8	9	666	3	4
35	2	2	4	3	1	2	2	1	1	666	pul roku	1	1	1	2	1	2	7	5	3	7	3	9	5	3	5	2	1
22	2	4	1	6	2	2	2	2	2	666	Mesic	1	1	1	1	1	1	9	9	9	9	2	4	3	4	1	1	4
34	2	4	1	6	1	2	1	1	1	666	do 2 mìsícù	1	1	1	2	1	1	9	9	6	9	5	7	5	6	666	2	4
54	1	2	11	1	2	2	2	2	2	666	mìsíc	1	1	1	2	2	1	8	8	7	9	4	6	4	6	666	3	1
52	1	3	14	6	1	1	1	1	1	666	nekoneènì dlouho	1	1	1	2	2	1	8	7	8	5	3	7	1	2	666	3	3
52	2	3	1	6	1	3	3	1	1	666	nìkolik let, jestli vùbec	1	1	1	2	1	1	8	5	9	9	3	5	2	3	4	3	3
18	1	1	14	5	2	2	2	2	2	2	sys_empty	1	2	1	2	1	1	9	8	10	8	2	5	3	3	1	1	1
37	1	2	5	3	2	1	1	2	2	666	3 mìsíce	1	1	1	2	2	1	2	5	5	2	5	4	2	3	666	2	1
20	2	3	7	5	1	3	3	1	1	2	sys_empty	1	1	1	2	1	1	6	7	6	10	7	8	7	6	1	1	3
39	1	3	3	1	1	3	3	2	1	666	2roky	1	1	1	2	1	2	3	3	7	3	1	8	4	2	7	2	3
59	2	2	2	3	1	2	1	2	2	666	6 mìsícù	1	1	1	1	1	1	10	10	9	9	1	2	1	1	666	3	1
