p_sex,p_age,p_size,p_edu,p_nuts3,p_income,p_house_income,s1,s2_1,s2_2,s2_3,s2_4,s2_5,s3_1,s3_2,s3_3,s3_4,s3_5,s3_6,s3_7,s3_8,s3_9,s3_10,s3_11,s3_12,s4_1,s4_2,s4_3,s4_4,s5,s6,s6_code1,s6_code2,s6_code3,s7_1,s7_2,s7_2_code1,s7_2_code2,s7_2_code3,s8_1,s8_2,s8_2_code1,s8_2_code2,s8_2_code3,s10,s10_O_T_H,s11_1,s11_2,s11_3,s11_4,s9_1,s9_1_code1,s9_1_code2,s9_1_code3,s9_1_code4,s9_2,s9_2_code1,s9_2_code2,s9_2_code3
Mu,42,Mìsto s 5000 - 19999 obyvateli,Vyuèen,3,3,3,Ano,0,90,0,10,100,Velmi mnì zajímá,Velmi mnì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Technika,,,Vùbec,Dennì /témìø dennì,Vùbec,3-4x tıdnì,"Internetové zpravodajské deníky, servery",Jsou tam nejnovìjší zprávy.,"Aktuálnost, rychlost",,,sys_filtered_off,sys_filtered_off,-9,,,Aktuálnì.cz,Vìtšina zpráv je psaná nestranì,"Kvalita, objektivnost",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,0,0,0,sys_filtered_off,-9,,,,Noviny neètu.,Neuvedl,,
ena,59,Vesnice do 999 obyvatel,Vyuèen,10,3,6,Ano,0,50,20,30,100,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,1-2x tıdnì,Dennì /témìø dennì,3-4x tıdnì,Dennì /témìø dennì,"Internetové zpravodajské deníky, servery",aktuálnost,"Aktuálnost, rychlost",,,deník,informace z regionu,Obsah (zamìøení i rozsah),,,atlas,pøehlednost a nabídka,Pøehledné,Rozsah,,"Ano, vypište prosím maximáílní pøípustnou èástku za mìsíc:",30,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,0,0,ke snídani,"Kdy odpoèívám/mám pauzu, kdy chci",,,,aktuálnost zpráv,"Je aktuální, kdykoli dostupné",,
Mu,38,Vesnice do 999 obyvatel,Maturita,2,5,6,Ano,1,9,10,80,100,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,1-2x tıdnì,1-2x tıdnì,Dennì /témìø dennì,Obešel /obešla bych se beze všech,sys_filtered_off,"-9,00",,,nevím,nevím,Neuvedl,,,atlas,ze zvyku,"Zvyk, nastavená DS",,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na mobilu,0,0,e je nìkdo donese,Kdy je dostanu/nìkdo je koupí,,,,kdy mám èas,Kdy mám èas,,
Mu,48,Velkomìsto nad 100 000 obyvatel,Maturita,1,6,8,Ano,10,80,10,0,100,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,1-2x tıdnì,Dennì /témìø dennì,1-2x tıdnì,Vùbec,"Internetové zpravodajské deníky, servery",sedím celı den u pc,Trávím èas na internetu,,,novinky.cz,mám je jako vıchozí,Jiné,,,bbc,rychlé a bez zkreslení pro ær,"Rychlost, aktuálnost","Kvalita, objektivnost",,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na mobilu,0,0,kdy je najdu,Kdy je dostanu/nìkdo je koupí,,,,u toho sedím,Kdy jsem na internetu,,
Mu,43,Velkomìsto nad 100 000 obyvatel,VŠ,7,7,9,Ano,35,40,20,5,100,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Vìda,Technika,,Dennì /témìø dennì,Dennì /témìø dennì,Dennì /témìø dennì,Ménì èasto,Obešel /obešla bych se beze všech,sys_filtered_off,"-9,00",,,Libereckı deník,info i z regionu,Obsah (zamìøení i rozsah),,,BBC,objektivní zpravodajství,"Kvalita, objektivnost",,,"Ano, vypište prosím maximáílní pøípustnou èástku za mìsíc:",80,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,0,0,Protoe obsahují i regionální informace.,Kvùli obsahu,,,,"Aktuální zprávy, ovìøení z nìkolika zdrojù.","Je aktuální, kdykoli dostupné","Kvùli rozsahu, objektivitì",
Mu,41,Obec s 1000 - 1999 obyvateli,Vyuèen,11,4,4,Ano,1,50,49,0,100,Velmi mnì zajímá,Velmi mnì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,Dennì /témìø dennì,Dennì /témìø dennì,Ménì èasto,"Internetové zpravodajské deníky, servery",Monost velkého vıbìru a pohodlí,Vybírám si informace/zdroje,Dostupnost,,adné,Nejsou,DIVNÉ ODPOVÌDI,,,Bez politické konkrétnosti,Nezávislost.,"Kvalita, objektivnost",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,0,0,Tv program,"Podle pøílohy, dárku",,,,Zpravodajství doma i ve svìtì,"Kvùli rozsahu, objektivitì",,
ena,25,Obec s 1000 - 1999 obyvateli,Maturita,2,3,4,Ano,30,20,40,10,100,Vùbec mì nezajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,Dennì /témìø dennì,Dennì /témìø dennì,3-4x tıdnì,3-4x tıdnì,"Internetové zpravodajské deníky, servery","Ráda vím,co se dìje..","Aktuálnost, rychlost",,,Blesk,Je to jeden velikı bulvár,Obsah (zamìøení i rozsah),,,blesk.cz,Vy vše ihned,"Rychlost, aktuálnost",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,0,0,V metru a pøi cestì,Kdy cestuji,,,,ve volné chvilce v práci,Kdy se nudím/relaxuji,,
ena,20,Obec s 1000 - 1999 obyvateli,Maturita,2,2,7,Ano,0,50,50,0,100,Málo mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,Dennì /témìø dennì,Dennì /témìø dennì,Ménì èasto,"Internetové zpravodajské deníky, servery","Je to nejrychlejší, nejobsáhlejší a nejlevnìjší zdroj informací.","Aktuálnost, rychlost",Širokı rozsah informací,Je to levné,Dnes,"Dávají k nim pøílohy jako OnaDnes, Zahrada apod.",Pøílohy,,,boleslavskydenik.cz,protoe obsahuje zprávy z mého regionu,Rozsah,,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na tabletu,Internetové zpravodajství ètu na stolním poèítaèi,"Kdy se mi zrovna dostanou do ruky, nebo je nìkdo známı koupí",Kdy je dostanu/nìkdo je koupí,,,,"je dostupné, bezplatné a obsáhlé","Je aktuální, kdykoli dostupné","Kvùli rozsahu, objektivitì",Jsou zdarma
ena,41,Vesnice do 999 obyvatel,Maturita,11,3,5,Ano,0,75,5,20,100,Málo mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Jiná,,,Vùbec,Dennì /témìø dennì,Ménì èasto,3-4x tıdnì,Obešel /obešla bych se beze všech,sys_filtered_off,"-9,00",,,sys_filtered_off,sys_filtered_off,-9,,,Britské Listy,objektivita,"Kvalita, objektivnost",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na tabletu,0,0,sys_filtered_off,-9,,,,"rychlı pøístup, dostupnost, ádné další investice","Je aktuální, kdykoli dostupné",,
ena,51,Velkomìsto nad 100 000 obyvatel,Maturita,1,5,8,Ano,10,30,30,30,100,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,Dennì /témìø dennì,Dennì /témìø dennì,Dennì /témìø dennì,Dennì /témìø dennì,"Internetové zpravodajské deníky, servery",Rychlı a struènı pøehled o dìní.,"Aktuálnost, rychlost",Pøehled událostí,,metro,zdarma,Levné/zdarma,,,centrum,mám jej jako domácí stránku,"Zvyk, nastavená DS",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,0,0,0,dostávám je v metru zdarma,Kdy je dostanu/nìkdo je koupí,,,,mám to jako domácí stránku,Kdy jsem na internetu,,
