p_sex	p_age	p_size	p_edu	p_nuts3	p_income	p_house_income	s1	s2_1	s2_2	s2_3	s2_4	s2_5	s3_1	s3_2	s3_3	s3_4	s3_5	s3_6	s3_7	s3_8	s3_9	s3_10	s3_11	s3_12	s4_1	s4_2	s4_3	s4_4	s5	s6	s6_code1	s6_code2	s6_code3	s7_1	s7_2	s7_2_code1	s7_2_code2	s7_2_code3	s8_1	s8_2	s8_2_code1	s8_2_code2	s8_2_code3	s10	s10_O_T_H	s11_1	s11_2	s11_3	s11_4	s9_1	s9_1_code1	s9_1_code2	s9_1_code3	s9_1_code4	s9_2	s9_2_code1	s9_2_code2	s9_2_code3
1	42	4	2	3	3	3	1	0	90	0	10	100	1	1	3	4	2	2	3	1	2	15	 	 	5	1	5	2	2	Jsou tam nejnovìjší zprávy.	1	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	Aktuálnì.cz	Vìtšina zpráv je psaná nestranì	5	 	 	2	sys_empty	1	0	0	0	sys_filtered_off	-9	 	 	 	Noviny neètu.	99	 	 
2	59	1	2	10	3	6	1	0	50	20	30	100	2	2	3	4	3	2	2	2	4	-9	 	 	3	1	2	1	2	aktuálnost	1	 	 	deník	informace z regionu	2	 	 	atlas	pøehlednost a nabídka	2	4	 	666	30	1	2	0	0	ke snídani	6	 	 	 	aktuálnost zpráv	8	 	 
1	38	1	3	2	5	6	1	1	9	10	80	100	2	3	4	4	2	3	4	1	4	-9	 	 	4	3	3	1	5	sys_filtered_off	-9	 	 	nevím	nevím	99	 	 	atlas	ze zvyku	3	 	 	2	sys_empty	2	4	0	0	e je nìkdo donese	2	 	 	 	kdy mám èas	4	 	 
1	48	6	3	1	6	8	1	10	80	10	0	100	3	2	3	4	2	3	3	2	4	-9	 	 	3	1	3	5	2	sedím celı den u pc	5	 	 	novinky.cz	mám je jako vıchozí	80	 	 	bbc	rychlé a bez zkreslení pro ær	1	5	 	2	sys_empty	2	4	0	0	kdy je najdu	2	 	 	 	u toho sedím	3	 	 
1	43	6	4	7	7	9	1	35	40	20	5	100	2	1	2	4	2	3	3	2	1	18	15	 	1	1	1	4	5	sys_filtered_off	-9	 	 	Libereckı deník	info i z regionu	2	 	 	BBC	objektivní zpravodajství	5	 	 	666	80	1	2	0	0	Protoe obsahují i regionální informace.	10	 	 	 	Aktuální zprávy, ovìøení z nìkolika zdrojù.	8	9	 
1	41	2	2	11	4	4	1	1	50	49	0	100	1	1	3	4	2	3	4	1	4	-9	 	 	4	1	1	4	2	Monost velkého vıbìru a pohodlí	10	3	 	adné	Nejsou	90	 	 	Bez politické konkrétnosti	Nezávislost.	5	 	 	2	sys_empty	1	2	0	0	Tv program	9	 	 	 	Zpravodajství doma i ve svìtì	9	 	 
2	25	2	3	2	3	4	1	30	20	40	10	100	4	4	2	4	2	2	1	2	4	-9	 	 	1	1	2	2	2	Ráda vím,co se dìje..	1	 	 	Blesk	Je to jeden velikı bulvár	2	 	 	blesk.cz	Vy vše ihned	1	 	 	2	sys_empty	1	4	0	0	V metru a pøi cestì	1	 	 	 	ve volné chvilce v práci	7	 	 
2	20	2	3	2	2	7	1	0	50	50	0	100	3	3	1	3	3	3	2	1	4	-9	 	 	4	1	1	4	2	Je to nejrychlejší, nejobsáhlejší a nejlevnìjší zdroj informací.	1	4	9	Dnes	Dávají k nim pøílohy jako OnaDnes, Zahrada apod.	6	 	 	boleslavskydenik.cz	protoe obsahuje zprávy z mého regionu	4	 	 	2	sys_empty	2	4	3	1	Kdy se mi zrovna dostanou do ruky, nebo je nìkdo známı koupí	2	 	 	 	je dostupné, bezplatné a obsáhlé	8	9	10
2	41	1	3	11	3	5	1	0	75	5	20	100	3	3	1	3	3	4	4	1	2	80	 	 	5	1	4	2	5	sys_filtered_off	-9	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	Britské Listy	objektivita	5	 	 	2	sys_empty	1	3	0	0	sys_filtered_off	-9	 	 	 	rychlı pøístup, dostupnost, ádné další investice	8	 	 
2	51	6	3	1	5	8	1	10	30	30	30	100	2	3	3	3	2	3	2	1	4	-9	 	 	1	1	1	1	2	Rychlı a struènı pøehled o dìní.	1	2	 	metro	zdarma	8	 	 	centrum	mám jej jako domácí stránku	3	 	 	2	sys_empty	1	0	0	0	dostávám je v metru zdarma	2	 	 	 	mám to jako domácí stránku	3	 	 
2	35	3	2	10	3	3	1	0	80	20	0	100	3	4	2	4	3	2	3	2	4	-9	 	 	5	1	2	5	2	mám pøehled ve všem a ètu si to co právì chci já a je obsáhlejší...	2	10	4	sys_filtered_off	sys_filtered_off	-9	 	 	centrum	je na nìm vše	4	 	 	2	sys_empty	1	0	0	0	sys_filtered_off	-9	 	 	 	tištìné pøi èekání u lékáøe ,internet doma v klidu	2	 	 
1	56	6	2	1	88	88	1	20	5	60	15	100	1	3	2	1	1	3	4	3	3	80	 	 	2	1	1	2	1	Nejvíce informací	4	 	 	Sport	Zajímám se o sport	2	 	 	centrum	je pøehlednı	2	 	 	2	sys_empty	1	0	0	0	v kavárnì	8	 	 	 	 veèer doma	2	 	 
2	41	6	4	6	4	6	1	0	50	50	0	100	1	1	1	3	2	3	4	1	4	-9	 	 	4	1	1	4	3	snadnı, pravidelnı pøístup	1	 	 	Ústeckı deník	regionální zpravodaj	2	 	 	centrum	má domovská stránka	3	 	 	2	sys_empty	2	4	0	0	pouze v pøípadì, e je mám k dispozici	2	 	 	 	práce na PC	2	 	 
1	31	4	2	2	6	7	1	3	40	30	27	100	1	2	2	3	2	1	2	2	3	80	 	 	3	1	1	2	2	Aktuálnost, jednoduchost nalezení, monost porovnání	1	4	 	Lidové noviny	ètu je ji sdlouho	5	 	 	Centrum Aktuálnì	pøehlednost, známí moderátoøi	2	80	 	666	200	1	4	0	0	jízdy vlakem	1	 	 	 	vdy kdy jsem doma	2	 	 
1	29	1	2	3	6	8	1	0	90	0	10	100	3	3	2	2	3	3	4	3	1	15	 	 	4	1	5	3	2	najdu tam i to co v rozhlasech a televizich neni	10	 	 	level	Obsahuje vse co mam rad	4	 	 	centrum,aktualne	nastave jako domovska stranka	3	 	 	2	sys_empty	1	4	2	3	ze se nudim	3	 	 	 	nemam co napraci	7	 	 
2	20	4	3	8	1	88	1	10	60	20	10	100	3	3	2	3	2	2	2	2	2	17	18	 	5	1	4	3	2	Muu se podívat kdykoliv potøebuji a mùu si najít i to co v televizi u bylo.	3	80	 	sys_filtered_off	sys_filtered_off	-9	 	 	centrum.cz	mám zde mail a koukám na centrum kadı den ádnı zvlaští dùvod nemám	3	 	 	2	sys_empty	2	4	0	0	sys_filtered_off	-9	 	 	 	kadı den zapnu notebook a podívám se na email zprávy jsou zde také tak si zajimáve pøeètu.	1	5	 
2	41	6	3	4	3	7	1	0	30	50	20	100	1	2	3	3	2	3	2	1	4	-9	 	 	5	1	1	1	5	sys_filtered_off	-9	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	centrum.cz	zvyk	3	 	 	2	sys_empty	1	2	0	0	sys_filtered_off	-9	 	 	 	aktuální zprávy bìhem dne	8	 	 
2	40	5	2	2	1	3	1	0	0	100	0	100	1	2	1	3	2	2	1	1	3	13	 	 	3	1	1	4	3	Zdroj informaci které potøebuji k zivotu	8	 	 	blesk	vzdy maji zarucene drby	2	 	 	centrum.cz	mam ho nastaveny	3	 	 	2	sys_empty	4	0	0	0	podle situace,co mam zrovna pri ruce	6	 	 	 	zrocna jsem na internetu	3	 	 
2	41	6	4	12	4	3	1	0	95	1	4	100	2	3	2	4	1	4	4	1	4	-9	 	 	4	1	3	3	2	Nejvíce sleduji internet	5	 	 	Mf dnes	jsou mi sympatické	4	 	 	cnn	aktuální zpravodajství z celého svìta	1	4	 	2	sys_empty	2	0	0	0	je nìkde najdu nebo si koupím, protoe potøebuji novinovı papír	2	80	 	 	sleduji internet	3	 	 
1	28	6	3	11	4	6	1	0	33	50	17	100	1	2	3	3	2	1	4	1	4	-9	 	 	4	1	1	1	2	Ráda se dozvídám co se dìje kolem mì	2	 	 	5+2	jsou vìtšinou zdarma a zamìøené na danı region	8	2	 	Ct24	je aktuální a objektivní	1	5	 	2	sys_empty	1	0	0	0	e se ke mì nìjaké dostanou	2	 	 	 	protoe jsem skoro kadı den na internetu	1	 	 
2	20	6	3	4	2	6	1	0	80	20	0	100	3	1	2	4	1	2	3	1	4	-9	 	 	4	1	2	4	2	zabaví mì to pøi cestì do školy nebo pøi èekání na nìco	8	 	 	Právo	zajímavé informace	2	 	 	èt24	struèné ale dostaèující informace o dané události	2	 	 	2	sys_empty	3	2	4	1	kdy jsem na návštìvì u rodièù nebo prarodièù, kteøí je kupují	2	 	 	 	kdy tím mohu vyplnit chvíli, mám je kdykoliv k dispozici na tabletu, je to pohodlné	7	 	 
1	45	1	3	3	7	8	1	0	90	5	5	100	1	2	4	4	1	3	4	3	2	16	 	 	5	1	1	3	2	nepodléhají diktátu Eu , dá se tam najít pravda	7	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	dnes	nejménì le	5	 	 	2	sys_empty	2	4	0	0	sys_filtered_off	-9	 	 	 	sleduju dálst ve svìtì	9	 	 
