p_sex	p_age	p_size	p_edu	p_nuts3	p_income	p_house_income	s1	s2_1	s2_2	s2_3	s2_4	s2_5	s3_1	s3_2	s3_3	s3_4	s3_5	s3_6	s3_7	s3_8	s3_9	s3_10	s3_11	s3_12	s4_1	s4_2	s4_3	s4_4	s5	s6	s6_code1	s6_code2	s6_code3	s7_1	s7_2	s7_2_code1	s7_2_code2	s7_2_code3	s8_1	s8_2	s8_2_code1	s8_2_code2	s8_2_code3	s10	s10_O_T_H	s11_1	s11_2	s11_3	s11_4	s9_1	s9_1_code1	s9_1_code2	s9_1_code3	s9_1_code4	s9_2	s9_2_code1	s9_2_code2	s9_2_code3
2	36	4	3	8	2	5	1	0	80	10	10	100	1	2	3	1	2	1	3	2	4	-9	 	 	4	1	2	2	2	rychlost, pøístupnost	1	3	 	deník náchodska	regionální zprávy	2	 	 	idnes	ze zvyku	3	 	 	2	sys_empty	2	0	0	0	kdy se mi do rukou dostanou noviny	2	 	 	 	je zde velkı pøehled zpráv	9	 	 
2	28	5	3	11	2	4	1	20	70	10	0	100	3	3	2	4	1	2	4	2	4	-9	 	 	3	1	3	4	2	takové zpravodajství mám vdy po ruce, k dispozici pøes mobilní telefon	3	 	 	znojemskı deník	jsou ze Znojemska	2	 	 	idnes	pøehledné, rychlé	2	1	 	2	sys_empty	4	1	2	3	kdy je tam nìco zajímavého a nemají pravidelnì aktualizované webové stránky	10	80	 	 	jsou aktuálnìjší a tak vím, kdy a kde se co stalo/dìje	8	 	 
1	41	5	4	14	5	4	1	20	40	30	10	100	1	2	1	4	2	3	3	2	3	12	 	 	2	1	1	2	5	sys_filtered_off	-9	 	 	mfdnes	dostupnost	7	 	 	idnes	zvyk	3	 	 	2	sys_empty	1	4	2	3	dostupnost v zamìstnání	2	 	 	 	rychlost a aktuálnost	8	 	 
1	28	5	3	12	5	10	1	0	50	20	30	100	1	1	1	4	1	3	4	1	4	-9	 	 	4	1	1	1	2	je aktuální	1	 	 	idnes	aktuálnost	1	 	 	idnes	aktuálnost	1	 	 	2	sys_empty	2	0	0	0	neètu	5	 	 	 	chci vìdìt aktuální dìní	8	 	 
2	34	6	4	1	7	7	1	10	45	25	20	100	3	2	2	2	1	3	3	2	4	-9	 	 	2	1	1	1	2	mám ho stále pøi sobì, je tam vše	3	4	 	mf dnes	nejvíce info	2	 	 	idnes	nejobsáhlejší	4	 	 	2	sys_empty	4	2	1	0	podrobnìjší	10	 	 	 	aktuálnìjší	8	 	 
2	36	6	3	4	3	6	1	40	10	50	0	100	1	3	1	3	2	2	3	1	4	-9	 	 	1	2	1	4	5	sys_filtered_off	-9	 	 	Plzeòskı deník	jsou regionální	2	 	 	idnes	nevím	99	 	 	2	sys_empty	1	0	0	0	je to klasika, odebírám je kadé ráno	7	 	 	 	bìhem dne se podívám na novinky	8	 	 
1	44	4	2	12	4	5	1	0	40	30	30	100	3	2	2	1	2	3	4	1	4	-9	 	 	5	1	1	1	2	Kdykoliv dostupny a aktualizovany.	3	1	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	kompletni zpravodajstvi i zajmove rubriky	4	 	 	2	sys_empty	4	2	0	0	sys_filtered_off	-9	 	 	 	jsou aktualni	8	 	 
1	38	4	3	11	7	8	1	0	100	0	0	100	2	4	4	1	2	1	2	1	4	-9	 	 	5	1	4	3	2	pohodlné , kdykoliv pøes mobil	3	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	pøehledné , od kadého trochu	2	4	 	2	sys_empty	4	2	0	0	sys_filtered_off	-9	 	 	 	kdykoliv pøístup k novinkám	8	 	 
1	42	2	3	8	5	7	1	5	90	5	0	100	1	1	4	1	1	3	4	1	4	-9	 	 	3	1	3	4	2	pohodlnost	8	 	 	krkonošskı deník	jsou regionální	2	 	 	idnes	nevím	99	 	 	2	sys_empty	1	4	0	0	ve velmi krajním pøípadì	5	 	 	 	pohodlnost	7	 	 
1	36	1	2	10	4	3	1	0	50	20	30	100	3	3	3	1	2	3	4	2	4	-9	 	 	5	1	1	1	4	pri ruce	3	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	nevim	99	 	 	2	sys_empty	2	0	0	0	sys_filtered_off	-9	 	 	 	nuda na zachode	7	 	 
2	25	6	4	12	88	88	1	15	50	20	15	100	2	1	1	3	2	2	3	2	4	-9	 	 	3	1	3	2	5	sys_filtered_off	-9	 	 	mladá fronta	hodnì odlišnıch témat (rubrik)	2	 	 	idnes	støídám to	80	 	 	2	sys_empty	2	1	0	0	kdy mám více èasu na pøeètení novin	3	 	 	 	kdy nemám èas tak to zkouknu na internetu	6	 	 
2	26	6	4	1	3	6	1	0	60	40	0	100	4	3	1	4	2	1	1	1	4	-9	 	 	5	1	1	4	2	zajímá mì co se dìje	2	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	aktuální, zajímavı	1	7	 	2	sys_empty	1	0	0	0	sys_filtered_off	-9	 	 	 	mì zajíma	5	 	 
1	29	3	3	3	3	9	1	17	35	29	19	100	1	2	2	1	2	3	4	1	4	-9	 	 	2	1	1	2	2	rychlejsi a stale	1	 	 	ádné	adnı	99	 	 	idnes	vidím stale	6	 	 	2	sys_empty	1	2	3	4	dnes	80	 	 	 	zajimavosti	5	 	 
1	31	4	4	11	6	7	1	5	80	5	10	100	3	2	3	1	2	4	4	2	3	15	 	 	4	1	3	1	2	vyplòuje mi to chvíle volna	8	 	 	mf dnes	tradice	4	 	 	idnes	tradice	3	 	 	2	sys_empty	4	1	2	3	náhodou se mi dostanou do ruky	2	 	 	 	ve chvíli volna, protoe mám internet v mobilu	4	 	 
2	53	5	3	14	88	88	1	2	40	28	30	100	2	3	1	3	2	3	4	1	4	-9	 	 	1	1	1	1	4	Nepotøebuji sledovat obraz, mluvené slovo mnohdy lépe vyjádøí problém.	8	 	 	Mladá fronta	nejobsáhlejší	2	 	 	idnes	velice rychle reaguje na dìní	1	 	 	2	sys_empty	3	4	0	0	ètu ráno, pro pøehled	7	 	 	 	ètu bìhem dne, dle monosti pøipojení	3	 	 
1	18	2	1	11	1	10	1	10	65	25	0	100	1	2	3	3	2	3	4	1	4	-9	 	 	2	1	2	5	2	Nevim	99	 	 	reflex	jsou nezávislé	3	 	 	idnes	nevim	99	 	 	2	sys_empty	-8	-8	-8	-8	je mam po ruce	2	 	 	 	jsem na netu	3	 	 
2	57	5	2	14	2	4	1	35	20	40	5	100	2	2	2	3	2	2	2	3	4	-9	 	 	1	1	1	2	3	Veèer je èas na zprávy,odpoèinek.	8	 	 	dnes	líbí se dceøi a já se pøizpùsobím	80	 	 	idnes	jsou tam soutìe,sbírají se body	80	 	 	2	sys_empty	1	0	0	0	kdy jsou doma k mání	2	 	 	 	kdy jsem na poèítaèi	3	 	 
2	20	5	3	13	1	3	1	0	90	10	0	100	3	4	1	4	3	2	4	1	4	-9	 	 	3	1	2	4	2	je vdy po ruce	3	 	 	tıdeník kromìøíska	jsou místní	2	 	 	idnes	nevím	99	 	 	2	sys_empty	2	4	0	0	e jsou po ruce	2	 	 	 	kdy jsem u pc	3	 	 
2	57	4	3	14	3	1	1	0	50	25	25	100	1	3	2	2	2	2	2	1	2	80	 	 	4	1	1	1	2	jsou zajímavé, nechybí diskuze	6	 	 	Blesk	nízká cena	8	 	 	idnes	zajímavı obsah, blogy	7	 	 	2	sys_empty	1	4	0	0	kdy nemám pøístup k internetu	4	 	 	 	vdy kdy sednu k PC	3	 	 
2	23	1	3	8	88	88	1	10	50	10	30	100	3	1	1	3	1	3	2	1	4	-9	 	 	3	1	2	1	2	Snadnı pøístup, rychlı zdroj informací, aktuální informace	3	1	 	MF Dnes	atraktivní èetba	1	 	 	idnes	pøístupné	6	 	 	666	150	2	4	0	0	pøístup v práci a pod.	2	 	 	 	 rychlı pøístup z domova	2	 	 
1	35	6	3	14	88	99	1	0	30	60	10	100	1	4	3	1	1	3	4	3	4	-9	 	 	2	2	1	2	3	na èt1 v 19:00 mi vyhovuje èas, jsou objektivní	8	7	 	mladá fronta dnes	zajímávé èlánky	2	 	 	idnes	vdy se dozvím vše podrobnì	7	 	 	2	sys_empty	2	4	3	1	ètu kdy nemám pøístup k Internetu, v èekárnì doktora atd	4	8	 	 	jsem doma	2	 	 
2	46	1	3	9	5	6	1	0	30	50	20	100	2	2	2	3	2	3	4	1	4	-9	 	 	4	1	1	1	5	sys_filtered_off	-9	 	 	Pardubickı deník	zprávy z regionu	2	 	 	idnes	rychlost	1	 	 	666	50	1	3	0	0	jsem upozornìna na urèitı èlánek	10	 	 	 	pøestávka pøi práci s PC	2	 	 
1	27	6	4	14	5	8	1	5	50	40	5	100	2	1	3	1	2	2	2	1	4	-9	 	 	4	1	2	4	2	nevím	99	 	 	mf dnes	nevím	99	 	 	idnes	nevím	99	 	 	2	sys_empty	1	2	4	3	ve vlaku	1	 	 	 	v práci	2	 	 
1	49	5	4	14	5	8	1	0	70	30	0	100	2	2	3	1	2	3	4	2	4	-9	 	 	5	1	1	4	2	rychlost	1	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	celkovı zábìr zpravodajství	4	 	 	2	sys_empty	2	4	0	0	sys_filtered_off	-9	 	 	 	vdy ètu internetové servry	1	 	 
1	41	5	3	13	5	7	1	0	50	40	10	100	2	3	2	1	2	4	4	1	4	-9	 	 	4	1	2	2	2	pohodlné, zdarma	8	9	 	Zlínskı deník	region	2	 	 	idnes	obsáhlé zpravodajství z mnoha oblastí	4	 	 	2	sys_empty	1	4	0	0	kdy mi je nìkdo dá, nebo jsou zdarma	2	 	 	 	kadı den - dostupné	1	 	 
1	18	5	1	14	88	5	1	20	70	3	7	100	1	2	1	1	2	4	3	2	1	18	15	 	3	1	3	2	6	sys_filtered_off	-9	 	 	Deník	Regionální zpravodajství	2	 	 	iDnes	Dùvìryhodnı, pøehlednı, seriózní ale zároveò nenudí	5	2	 	666	30	1	4	2	3	pøedplatné jiné osoby v domácnosti	2	 	 	 	aktuální informace, zábava	8	80	 
1	45	5	3	14	4	6	1	5	70	5	20	100	3	2	2	1	3	3	4	2	4	-9	 	 	3	1	2	1	2	Vdy po ruce.	3	 	 	Dnes	zvyk	4	 	 	iDnes	Nevím ( první v seznamu)	90	 	 	2	sys_empty	4	1	0	0	cestování autobusem, vlakem	1	 	 	 	vdy jindy.	80	 	 
2	45	2	3	13	88	88	1	20	50	30	0	100	1	1	2	2	1	3	3	1	2	99	 	 	1	1	1	5	1	nevím	99	 	 	MF dnes	seriozní zpravodajství	3	 	 	iDnes	seriozní zpravodajství	5	 	 	2	sys_empty	1	0	0	0	jsme doma	6	 	 	 	jsem na cestách	80	 	 
1	44	5	4	13	7	9	1	5	55	30	10	100	1	1	2	1	1	4	4	2	2	15	 	 	3	1	2	1	2	typ informací, monost vícenásobného provìøení, nezávislost na èeskıch zdrojích	4	7	 	MF Dnes	tradice?	4	 	 	iDnes	zvyk	3	 	 	2	sys_empty	2	3	1	4	1x tıdnì ve schránce	7	 	 	 	snadná dostupnost	8	 	 
1	50	6	3	1	5	4	1	2	70	20	8	100	1	1	2	2	2	3	4	1	2	11	 	 	4	1	3	1	2	Chci vìdìt, co se dìje	2	 	 	Hospofáøské noviny	nemají bulvár	2	 	 	iDnes	zvyk	3	 	 	2	sys_empty	1	4	0	0	na dovolené	1	 	 	 	je to po ruce	8	 	 
1	38	5	3	13	5	5	1	5	45	45	5	100	1	1	3	3	2	3	4	3	3	14	15	 	4	1	1	3	2	je jich tam dostatek ikdyz nekdy jsou zajimavejsi zpravy v TV	4	 	 	5+2	jsou zdarma	8	 	 	iDnes	dostatek informaci vseh druhu	4	 	 	666	max.120Kè/rok a neslemi by tam byt reklamy	1	2	0	0	se knejakym novnam dostanu (noviny jinak nekupuji)	2	 	 	 	je to promne dostupnejsi ctivo	8	 	 
2	24	6	3	1	3	4	1	5	70	22	3	100	1	1	1	2	1	3	3	2	3	13	12	 	3	1	2	4	3	Je zde vıbìr toho nejpodstatnìjšího, reprodukováno a zaruèeno kvalitou	2	7	 	DNES, Právo, Lidové noviny	Podstatnost a zajímavost témat pro mì, širokı zábìr, kvalita	2	3	 	iDnes	Pøehled a velké mnoství vèasnıch informací	4	1	2	666	100	2	1	4	0	U rodièù, nebo ti je kupují	2	 	 	 	Kdykoli, pøístup na internet mám kdykoli chci	8	 	 
1	45	6	3	1	4	5	1	5	65	30	0	100	3	3	2	2	2	4	4	1	2	16	13	80	3	1	2	5	5	sys_filtered_off	-9	 	 	Lidové Noviny	odlišnost	80	 	 	iDnes	aktuálnost	1	 	 	2	sys_empty	4	1	0	0	je dostanu	2	 	 	 	prùbìnì poøád v mobilu	3	 	 
2	42	6	3	1	88	88	1	0	80	20	0	100	2	3	2	3	2	3	4	1	4	-9	 	 	4	1	2	5	2	Jsem zvyklá prùbìnì bìhem dne mít informace, co se dìje	8	 	 	MF Dnes	na internetu ètu idnes	80	 	 	iDnes	pøijde mi nejobsáhlejší	4	 	 	2	sys_empty	1	4	0	0	e se k nim nìkde náhodnì dostanu	2	 	 	 	sedím celı den u poèítaèe	3	 	 
1	37	5	4	7	4	3	1	0	70	5	25	100	3	2	3	4	3	3	4	2	4	-9	 	 	4	1	3	1	2	dostupnost	3	 	 	MF Dnes	zvyk	4	 	 	iDnes	pøehlednost	2	 	 	2	sys_empty	1	2	4	3	u rodièù na návštìvì	2	 	 	 	práci, doma	2	 	 
2	24	6	3	1	6	9	1	0	80	5	15	100	2	3	2	3	2	3	3	1	2	80	 	 	4	1	3	1	2	monost vybrat si jednoduše informace, které mì zajímá a selektovat ty, které mì nezajímají	10	 	 	MF DNES	pøílohy	6	 	 	iDNES	?	99	 	 	2	sys_empty	1	4	0	0	Zcela náhodnì, kdy jsou nìkde zdarma k dispozici	2	 	 	 	Pohodlnost, jednoduché vybrání informace, která mì zajímá	7	5	 
1	43	5	4	8	5	7	1	5	60	10	25	100	1	1	3	1	2	2	4	2	2	19	 	 	3	1	2	1	2	Rychlá dostupnost aktuálních informací.	1	 	 	MF DNES	zvykl jsem si, jiné ani nezkouším, mám dílèí pøedplatné	4	 	 	iDNES	širokı zábìr, monost vıbìru, aktuálnost	4	1	 	666	100	1	2	0	0	mám pøedplatné, dva dny v tıdnu - ètu hlavnì pøílohy a obecné komentáøe	7	 	 	 	ètu dennì, vybírám si aktuality a zajímavé rozhovory	1	5	 
1	18	5	1	3	1	7	1	10	40	30	20	100	1	1	1	1	1	2	2	2	4	-9	 	 	2	1	2	1	2	nejrychlejší, k dispozici kdykoliv	1	3	 	MF Dnes	kvalita	3	 	 	Idnes	kvalita	5	 	 	2	sys_empty	1	3	4	2	kdy mám èas, jsem doma	3	 	 	 	pospíchám, chci rychle aktuální info	8	 	 
1	31	2	4	14	7	7	1	0	70	20	10	100	3	2	3	1	3	3	3	3	4	-9	 	 	4	1	2	2	2	pøístup k internetu mám skoro všude	3	 	 	Mladá fronta	obèas je ètu ve vlaku	7	 	 	Idnes	mají pøehledné zpravodajství	2	 	 	2	sys_empty	2	4	3	1	kdy jedu ve vlaku do Prahy - dostanu noviny zdarma	2	 	 	 	pøístup je všude a vyuívám to	8	 	 
1	39	5	3	9	4	7	1	10	40	30	20	100	2	2	1	3	2	3	4	1	4	-9	 	 	3	1	1	1	4	Je po ruce kdykoli jedu autem.	3	 	 	Mladá Fronta	Ostatní se nedají èíst.	4	 	 	Idnes	Je pøehlednı	2	 	 	2	sys_empty	1	2	0	0	Kdy chci	6	 	 	 	Kdy chci	4	 	 
1	26	4	3	2	1	1	1	35	55	10	0	100	3	3	1	3	3	3	4	1	4	-9	 	 	3	2	2	3	2	Informace jsou zde vdy nejaktuálnìjší a po dobu 24 hodin	1	 	 	Lidové noviny	nefabulují	3	 	 	Idnes	mám jej na své domovské adrese	3	 	 	2	sys_empty	2	0	0	0	na cestách nemám pøístup k internetu	1	4	 	 	je mám k dispozici vdy, kdy jsem na své domovské adrese	3	 	 
1	51	5	4	6	1	3	1	10	60	20	10	100	2	1	2	2	2	2	3	2	2	80	 	 	4	1	3	4	2	je to mùj hlavní zdroj informací - i tìch, bez kterıch se v bìném ivotì neobejdete (napø. zmìny zákonù a z nich vyplıvajících povinností)	8	 	 	Lidové noviny	vysoká míra objektivity, kvaltní zpracování témat	3	 	 	IDNES	pøedevším ze zvyku + bonusovı program	3	80	 	2	sys_empty	1	0	0	0	nemám pøedplatné - take pouze pokud se mi dostanou noviny náhodou do ruky	2	 	 	 	dennì - je aktuální	1	8	 
1	31	4	4	2	6	10	1	18	70	2	10	100	3	2	2	3	2	4	3	1	3	15	18	 	4	2	5	4	2	Obejít se lze bez všech zdrojù informací, ale internet poskytuje ty informace, které mne zajímají, kdy já chci a nejsou mi zcela vnucovány.	4	3	 	Metro	Snadno dostupné pøi cestì do práce	7	 	 	idnes.cz	Dobøe èlenìné a relativnì støízlivì podané informace	2	5	 	2	sys_empty	1	2	4	0	Jsem na cestì a není mobilní signál (metro)	1	4	 	 	Je aktuální a jsou dostupné ty informace, které mne zajímají	8	5	 
1	25	1	3	9	3	4	1	5	90	5	0	100	3	3	3	2	3	3	3	1	1	18	15	 	4	3	4	4	2	rychlost, pøehlednost	1	2	 	MF dnes	pravdivost zpráv	3	 	 	idnes.cz	je tam téma vìda a vesmír	80	 	 	2	sys_empty	2	0	0	0	kdy nemám po ruce internet	4	 	 	 	chci se rychle nìco dozvìdìt, je zdarma	8	10	 
